roadname	linkid	linkLoc	linkSpeed	linkCongestIndex	linkLength	Roadlength	RoadCongestLength	RoadCongestIndex	RoadAvgSpeed	title
东五环路-南向北-广渠路至朝阳北路_131_morning	15685156720	116.553011,39.904383,116.552807,39.905338,116.552467,39.907029	19.14711441	4.128037172	0.297	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685157250	116.551064,39.914155,116.551035,39.914318,116.551032,39.914341,116.550892,39.91523,116.550838,39.915575,116.550824,39.915665,116.550746,39.91638,116.550711,39.916698	13.15339174	6.440164004	0.284	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15685162000	116.549992,39.925577,116.549987,39.925664,116.549807,39.928135	24.12564631	3.456902208	0.284	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
二环-北向南-积水潭桥至阜成门外大街_131_morning	15259370170	116.362181,39.941266,116.36229,39.939317,116.362324,39.938512,116.362335,39.938255,116.362336,39.93821	25.59216954	2.839540426	0.34	10	1.03265929	3.615904767	32.76496795	二环-北向南-积水潭桥至阜成门外大街_131_morning
二环-北向南-积水潭桥至阜成门外大街_131_morning	15259410790	116.362336,39.93821,116.362339,39.938157,116.362345,39.938043,116.362362,39.937696,116.362418,39.936575,116.362489,39.935104	25.05331665	2.904605447	0.345	10	1.03265929	3.615904767	32.76496795	二环-北向南-积水潭桥至阜成门外大街_131_morning
二环-北向南-积水潭桥至阜成门外大街_131_morning	15259412560	116.362546,39.933335,116.36261,39.931838,116.362613,39.931777,116.362617,39.931677	32.71924405	2.180062592	0.184	10	1.03265929	3.615904767	32.76496795	二环-北向南-积水潭桥至阜成门外大街_131_morning
二环-北向南-积水潭桥至阜成门外大街_131_morning	15259412610	116.362053,39.943655,116.362154,39.942122,116.362166,39.941931,116.36217,39.941876	20.14785226	3.558195636	0.198	10	1.03265929	3.615904767	32.76496795	二环-北向南-积水潭桥至阜成门外大街_131_morning
二环-北向南-积水潭桥至阜成门外大街_131_morning	15259412620	116.362489,39.935104,116.362546,39.933335	26.14996196	2.782795635	0.197	10	1.03265929	3.615904767	32.76496795	二环-北向南-积水潭桥至阜成门外大街_131_morning
二环-北向南-积水潭桥至阜成门外大街_131_morning	15259414230	116.362032,39.946246,116.36203,39.946189,116.362029,39.946148,116.362025,39.946042,116.361984,39.944757,116.362053,39.943655	15.87520761	4.306085419	0.288	10	1.03265929	3.615904767	32.76496795	二环-北向南-积水潭桥至阜成门外大街_131_morning
二环-北向南-积水潭桥至阜成门外大街_131_morning	15259414310	116.365591,39.950509,116.363762,39.949982,116.363243,39.94981,116.362956,39.949698,116.362905,39.949678,116.362848,39.949639,116.362687,39.949547,116.362615,39.949503,116.362324,39.949263,116.362184,39.94911,116.362072,39.948945,116.361928,39.948586	23.12705896	2.740080358	0.397	10	1.03265929	3.615904767	32.76496795	二环-北向南-积水潭桥至阜成门外大街_131_morning
